Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[-2. 23.  5.]],[[0 1 1 1 1 1]],0,0,(0.00055586547+0j),0.0,1.6864316,1.0343609,1.455161,-2.1072316
[[-24. -14.  10.]],[[-2. 24.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00054522895+0j),0.0,1.6841801,1.0460007,1.4574126,-2.095592
[[-24. -14.  10.]],[[-2. 25.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.00053492+0j),0.0,1.6819997,1.0571904,1.459593,-2.0844023
[[-24. -14.  10.]],[[-2. 26.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.00052492815+0j),0.0,1.6798886,1.0679531,1.4617041,-2.0736396
[[-24. -14.  10.]],[[-2. 27.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00051524345+0j),0.0,1.6778443,1.0783106,1.4637485,-2.063282
[[-24. -14.  10.]],[[-2. 28.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0005058554+0j),0.0,1.6758643,1.0882832,1.4657284,-2.0533094
[[-24. -14.  10.]],[[-2. 29.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00049675384+0j),0.0,1.6739464,1.0978898,1.4676464,-2.043703
[[-24. -14.  10.]],[[-2. 30.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00048792883+0j),0.0,1.672088,1.1071488,1.4695047,-2.0344439
[[-24. -14.  10.]],[[-2. 31.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00047937056+0j),0.0,1.6702874,1.1160771,1.4713054,-2.0255156
[[-24. -14.  10.]],[[-2. 32.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.00047106945+0j),0.0,1.6685419,1.1246908,1.4730507,-2.016902
[[-24. -14.  10.]],[[-2. 33.  5.]],[[0 1 1 1]],0,0,(0.00046301648+0j),0.0,1.6668499,1.133005,1.4747428,-2.0085876
[[-24. -14.  10.]],[[ -1. -34.   5.]],[[1 1]],0,0,(7.427542e-05+8.665804e-05j),0.006995989565439231,1.9333742,-0.6035418,1.933374,0.603541
[[-24. -14.  10.]],[[ -1. -33.   5.]],[[1 1 1 1]],0,0,(-7.789028e-05-8.811365e-05j),0.009702731063043757,1.9504426,-0.6030034,1.9504429,2.538591
[[-24. -14.  10.]],[[ -1. -32.   5.]],[[1 1]],0,0,(-5.8916456e-05-9.445836e-05j),0.007856954198359745,1.9773643,-0.61843336,1.9773642,2.52316
[[-24. -14.  10.]],[[ -1. -31.   5.]],[[1 1 1]],0,0,(-7.803978e-06+5.219379e-07j),0.05658752399995137,1.677074,-2.7704184,1.4645191,2.770418
